"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"BDI","Burundi","21.36388","21.89144","22.67446","24.94697","24.94697","25.21908","25.7633","27.53912","28.06669","28.58808","29.35874","29.39393","29.64321","32.09222","31.55417","32.35384","33.15352","31.79296","30.16029","29.5994","28.85774","30.21831","30.47376","30.47376","31.52889","33.14491","33.14491","33.65581","33.62249","34.42216","33.87794","33.43123","33.13628","35.02441","35.27986","35.53532","37.96767","56.6722","58.68886","60.39782","59.80465","59.43462","61.00497"
"BEL","Belgium","91.07881","91.33426","91.36038","91.86511","92.33755","92.36984","92.36984","92.35318","92.35318","92.60246","92.60246","92.33035","92.05824","92.36264","93.10719","92.0677","90.97925","89.87414","87.47408","86.53822","86.11802","90.44448","96.20258","97.68839","97.93767","97.71451","97.49135","97.76347","93.25135","93.25135","93.74663","93.96978","93.95313","93.72997","93.72997","93.72997","96.23366","97.89367","97.62156","97.67051","96.90313","96.23366","96.50577"
"BEN","Benin","19.18329","19.72751","21.26885","23.1113","23.18599","25.03462","26.6278","28.19814","28.74236","29.26993","28.81704","29.33413","30.08813","31.33452","34.76398","37.36848","38.69573","35.67966","32.41431","30.22075","30.77115","36.63483","33.57499","35.83702","37.70848","56.85604","55.17937","55.71022","58.07696","61.21108","62.48936","66.26067","64.54739","65.84066","70.34602","70.85693","72.57536","73.55252","73.55252","74.1457","73.30653","73.56526","74.36494"
"BFA","Burkina Faso","19.45415","25.81577","23.82155","24.3201","23.57845","24.077","24.57556","25.07411","24.82483","26.07122","26.56978","27.56688","27.81616","27.81616","28.07161","28.58252","29.09342","28.8565","29.11195","30.64467","32.52848","35.77717","27.22507","37.32224","37.57769","38.13427","38.5995","39.1104","59.61255","61.72383","61.22878","63.41347","64.37069","65.62943","66.43649","69.20059","72.06589","71.61957","72.46203","73.83327","74.57512","75.04755","76.36244"
"BGD","Bangladesh",".","20.49503","25.34863","25.84718","26.10263","26.10263","32.60855","33.11328","34.11039","35.6184","35.63075","35.8862","36.64639","36.39711","35.89855","36.46561","37.25911","38.56969","54.69547","55.17408","53.59325","57.42894","61.32053","58.40359","68.04228","69.22864","69.87077","70.22414","69.21693","70.54418","71.45965","72.87984","72.84652","72.67849","73.30518","74.0592","74.56064","75.86504","76.16328","76.36977","76.64806","77.19229","76.68036"
"BGR","Bulgaria","42.57737","43.64916","43.47025","47.31928","48.11896","51.23681","52.3086","53.38039","57.42258","59.85493","62.01517","63.37573","64.17541","64.44752","64.44752","64.95225","64.68014","62.41807","53.98259","48.19973","48.1374","49.54364","72.63174","76.21815","59.2897","78.24022","81.80502","82.52962","83.09997","85.50948","85.63474","86.65757","86.65757","87.21125","85.69933","85.23306","86.499","87.09836","88.93792","85.71581","83.83385","84.08313","85.17158"
"BHR","Bahrain",".","18.83836","18.83836","19.59855","20.0971","20.85111","21.34966","21.34966","22.39244","22.92","23.46423","23.73634","24.24725","25.57449","27.47928","28.70283","28.1586","26.54877","25.93604","24.57547","25.34183","29.13474","29.88258","31.13514","32.47287","33.00043","34.05556","35.14401","37.32708","37.76331","36.96981","38.02494","38.28039","40.59239","42.38918","42.64463","42.46386","44.32915","45.96182","46.50605","46.7615","47.01695","48.85323"
"BHS","Bahamas, The",".",".",".","15.96063","16.72699","17.7488","22.01739","24.06101","26.10463","27.8928","29.17006","30.19187","31.21368","33.32394","33.27396","34.6012","35.40088","35.91179","35.63968","35.62302","36.15058","37.78326","38.03871","38.29416","38.29416","60.78909","39.91018","39.91018","40.16563","40.70985","41.25407","42.00191","40.91346","41.95624","42.50046","42.50046","42.81824","43.86102","45.22158","46.85426","47.28431","47.28431","48.10065"
"BIH","Bosnia and Herzegovina",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.36343","21.20905","23.65806","25.76646","26.31068","32.76048","34.05254","40.90338","59.07706","63.70028","64.37098","65.42611","66.60649","68.66162","71.44733","73.40107","73.68882","75.54362","76.29435","77.02841","77.73019"
"BLR","Belarus",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","15.73717","16.50353","17.3032","24.21206","27.04545","28.34986","29.96588","32.72028","33.77541","34.31963","35.63021","36.04978","37.36036","37.33322","38.13907","39.75508","43.23022","46.90895","47.40751","48.76807","65.40576","66.66842"
"BLZ","Belize",".",".",".",".",".",".",".",".",".",".",".","16.4412","16.96876","21.90566","22.17777","22.97745","23.2329","23.18723","22.89846","22.35423","24.90503","26.86166","27.91679","28.46102","30.87671","53.65649","34.29568","33.7348","34.2457","34.50116","35.77842","38.85678","36.30167","37.12419","38.48475","38.98948","40.25439","41.05407","41.05407","44.0473","44.0473","42.94219","44.30275"
"BMU","Bermuda","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","1.544225","2.088449","2.632674","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.993235","4.265348","3.176898","3.176898","3.176898","3.993235","3.176898","3.176898","3.993235"
"BOL","Bolivia","33.8149","35.1588","36.76864","39.63104","41.75983","43.63129","45.4861","47.32425","49.31789","48.77366","47.66856","47.37978","46.00256","48.9958","49.24507","51.08136","51.64841","48.38307","45.10724","42.39229","42.39846","46.67945","46.13522","47.18418","64.29103","48.55091","48.30164","49.37342","65.02676","68.9996","71.33321","71.4192","71.90849","73.26906","76.24563","76.75037","76.65863","76.95029","77.72095","77.47785","77.48114","77.55621","76.71704"
"BRA","Brazil","62.74505","63.27262","64.04946","65.06509","65.32055","66.08691","66.86375","67.36848","67.35181","67.33516","67.3185","66.77428","66.4855","67.00689","67.26234","67.5178","67.49496","65.29523","60.96427","71.94274","72.98552","81.16124","83.39777","84.48622","86.20464","86.20425","88.58926","87.95209","86.98644","87.01874","86.87188","87.36715","87.32765","87.3766","90.20136","90.90313","91.1524","91.96874","92.49014","92.76225","93.95311","93.95311","94.22522"
"BRB","Barbados","23.30576","24.8076","25.06305","25.82941","25.84176","28.35306","29.87342","29.63032","29.64267","30.14122","31.15068","31.16303","30.91993","33.62439","33.01784","34.34509","35.89877","34.49253","33.89216","32.25948","32.5606","34.71467","34.71467","34.71467","34.9763","56.94366","36.06475","34.12664","36.8311","37.08656","37.08656","38.90618","39.16163","39.2073","39.2073","38.95802","38.95802","39.78054","34.3421","40.32476","41.1411","40.32476","41.1411"
"BRN","Brunei Darussalam",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.168227","6.168227","10.65522","10.65522","10.65522","11.65233","16.50593","17.64005","36.309","37.67529","20.0724","21.37063","23.68881","24.46565","24.46565","25.00987","27.01645","27.28856","26.74433","27.24289","26.97078","27.22623","27.77045","29.67524","48.84892","51.93859","53.10662","53.45502","55.61526"
"BTN","Bhutan","8.073013","13.43752","13.43752","14.4408","14.4408","13.69297","13.69297","13.69297","13.69297","13.94842","13.94842","14.45933","14.45933","14.45933","14.45933","14.71478","14.71478","14.71478","14.71478","14.71478","14.97023","16.3308","16.3308","16.3308","16.3308","16.85836","16.85836","16.85836","16.85836","17.13047","17.38593","18.20226","18.1856","18.45771","19.25739","20.31252","21.40097","22.20065","22.20065","22.74487","23.20393","23.20393","23.20393"
"BWA","Botswana","10.44428","11.53273","15.36941","16.66764","15.19481","16.98542","18.30031","19.854","20.67651","21.49285","21.76496","23.07554","23.37049","24.16399","23.30816","25.1216","26.97641","25.59919","26.29087","25.45787","25.72998","28.75223","28.75223","51.11695","53.00508","32.27303","31.12225","31.62081","33.16587","33.7101","35.32611","36.04062","35.97829","37.84976","38.10521","38.36066","55.99012","57.35068","60.79474","57.52367","40.78684","39.9705","40.78684"
"CAF","Central African Republic","26.57533","27.61811","29.40872","34.72627","31.77013","32.8129","33.11403","35.16009","35.9141","35.9141","34.66771","36.68046","36.43118","38.04102","41.57848","42.07703","42.08321","38.84069","36.64714","34.45358","33.20719","36.40403","35.91166","35.95732","35.4131","36.96061","36.96061","38.86539","38.61612","39.43246","39.43246","39.19553","38.69698","39.49665","38.45387","55.63702","57.86017","59.21971","60.67548","62.19359","61.60041","61.45355","61.03952"
"CAN","Canada","79.21817","83.29364","84.07666","86.35823","87.81072","89.37058","90.40905","90.68117","90.91379","90.64167","89.65113","89.18815","88.64393","89.15484","89.44978","89.161","88.88889","88.0559","86.87901","84.45283","84.41333","90.38314","92.1244","93.14723","93.94073","94.46831","93.55901","93.31303","92.99691","93.22006","93.49218","93.97079","93.25237","93.55677","93.18675","93.43603","93.3369","93.39204","93.86446","93.86446","93.86446","93.86446","93.39204"
"CHE","Switzerland","66.80759","67.84606","68.10152","69.11098","69.3726","69.87733","69.88969","71.14842","71.66982","71.42053","70.92815","71.67599","71.93143","71.1151","71.65932","71.1151","70.82633","68.10521","63.20718","77.89809","76.7823","85.99012","87.52611","90.88936","90.94449","91.29168","91.29168","91.56379","91.61274","91.37293","91.59608","92.31451","92.0424","92.06852","91.79641","91.57325","92.09464","92.58991","92.82253","93.12075","93.09792","92.90088","93.39615"
"CHI","Channel Islands","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CHL","Chile","64.56261","65.18769","66.75803","66.63857","68.15565","69.73217","71.83523","72.6349","73.8299","73.26283","72.94074","72.11392","70.75523","73.45969","72.66618","73.46587","73.77027","72.06478","68.78278","65.26815","65.80518","73.32043","75.23589","76.42226","76.10614","76.58971","76.83898","79.3248","80.02039","82.35851","83.06027","84.12589","83.09257","82.44594","85.60244","86.52119","86.52119","87.9307","88.93399","89.2061","89.22894","89.2061","89.47821"
"CHN","China","25.3633","27.72097","31.32503","33.86965","35.67878","36.20017","36.99985","37.79953","38.07164","38.34375","38.59921","39.39888","39.64816","40.4645","41.28083","42.6019","43.15229","42.55192","42.24649","41.14138","57.03782","61.94818","63.67279","67.1541","67.25201","69.4289","70.75614","73.42111","72.90919","74.81397","75.5647","77.45282","77.15788","78.69161","80.43288","80.91149","83.26157","84.51701","84.51701","85.06124","85.3167","85.58881","85.3167"
"CIV","Cote d'Ivoire","31.28752","33.69086","34.55287","40.17398","40.53743","42.14727","43.21288","44.2785","44.57344","44.59628","44.59628","44.87457","44.62529","45.9297","46.45108","47.72649","48.23739","47.94244","48.14791","47.58086","46.51093","47.69255","46.61027","44.9381","44.63885","47.32048","47.29333","48.05969","68.27409","70.42487","67.26734","69.50922","68.63055","69.94176","70.88561","70.66245","71.83215","71.72439","73.26038","73.70669","72.92265","72.92265","74.24371"
"CMR","Cameroon","32.86964","36.02699","36.41327","38.27856","41.43591","43.27219","44.36064","45.42625","45.42625","44.88203","44.88203","44.60992","44.06569","45.68171","47.45566","48.27817","48.82857","47.39951","44.41245","40.28078","40.85402","44.2773","63.88064","63.94914","45.7249","46.78002","46.78002","48.12392","64.02654","64.52181","64.74496","66.09009","66.93872","67.68224","67.98169","68.90662","70.67297","71.24004","72.23058","71.24622","71.00021","71.5539","72.37024"
"COG","Congo, Rep.","22.39981","28.74907","28.00124","31.99586","32.75604","33.26077","33.26077","33.26077","35.10323","35.67646","35.97141","37.0432","37.61643","38.68822","38.48462","39.05785","40.12964","37.63065","34.87003","50.27364","49.10521","53.26976","53.4668","53.56471","54.11015","55.05669","54.41952","52.966","51.70006","51.94484","37.63438","37.70906","37.142","37.46596","54.45824","54.90455","39.90448","40.15993","40.90777","59.71143","57.25669","42.47812","41.91723"
"COL","Colombia","44.24643","45.60699","47.44944","49.80281","50.60249","51.41882","53.25697","54.55089","55.28206","56.00462","55.98796","55.41041","55.0988","57.25904","57.57682","58.35984","58.62147","57.74281","55.27713","51.73967","50.92952","57.19427","75.81427","76.87988","76.03621","75.97555","59.02624","75.49591","61.14699","61.69739","61.95284","62.99562","62.41807","62.19163","62.17497","62.42425","78.09424","79.70697","79.43486","80.10433","63.81382","80.08768","80.38262"
"COM","Comoros",".",".",".",".",".","8.617238","8.617238","8.617238","17.55808","17.55808","17.55808","18.06898","18.32444","18.32444","18.32444","18.32444","19.07227","19.07227","18.32444","19.32772","20.14406","22.00317","22.75101","23.29523","24.8199","26.43592","24.89458","25.93736","27.28127","28.0976","28.35306","30.25784","29.26691","30.06659","27.11902","28.17415","29.58656","31.40618","32.76674","34.94364","34.62585","34.33708","35.13676"
"CPV","Cape Verde",".",".",".",".",".","10.13574","10.13574","10.13574","10.13574","16.2666","17.51299","18.02389","18.02389","18.02389","18.27934","19.0457","20.05516","20.31061","20.31061","20.81534","22.70347","24.04737","24.81373","46.41603","47.98309","28.30121","28.55666","28.55666","29.10089","30.18934","48.74372","49.53002","31.42093","32.53222","31.68256","32.48223","34.09208","36.26897","36.77988","37.59621","36.77988","37.85167","38.10712"
"CRI","Costa Rica","36.27697","43.87564","44.94126","49.54429","48.38924","50.51616","51.82057","53.39709","54.67866","55.20005","55.73379","55.98924","56.51681","57.60526","57.58242","57.83788","57.83788","55.12293","50.76913","47.23167","46.95956","49.9818","48.37814","50.98509","51.24054","52.6011","52.85656","55.85596","55.85596","56.11142","55.55054","56.61615","55.30743","57.23505","56.69083","56.94628","57.49051","58.85107","59.6674","59.92286","59.90002","59.3558","59.65075"
"CUB","Cuba","42.62735","42.62735","44.39082","44.14772","45.66191","47.4192","48.93339","50.19213","50.70303","50.95848","51.20776","51.46939","51.71867","51.72484","51.72484","52.47885","52.47885","52.47885","53.72523","53.98069","53.70857","53.98686","52.6263","53.4198","69.84052","71.03756","71.6079","72.18442","55.796","56.88445","56.88445","58.44862","56.83878","57.88773","57.59278","58.13701","58.95335","60.85814","62.42847","62.42847","63.49409","63.49409","64.03831"
"CYM","Cayman Islands","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.272112","1.544225","2.088449","2.632674","2.632674","2.632674","2.632674","2.632674","2.632674","2.632674","2.632674","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.993235","3.176898","3.176898","3.176898"
"CYP","Cyprus","30.07326","31.63929","33.21581","34.56158","36.61999","38.97335","40.57271","42.41086","42.92176","43.68812","42.87178","42.87178","43.09391","45.52627","44.70993","46.83067","48.7188","45.18134","43.72513","41.56058","42.29176","47.26445","48.08079","50.08119","50.33664","51.95265","51.4541","52.52589","52.52589","53.89262","53.89262","55.25319","54.14808","54.96442","57.50903","58.00758","59.79819","78.00417","78.82051","79.06979","78.52557","78.52557","80.16152"
"CZE","Czech Republic",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","73.8308","76.66998","78.01388","76.69552","77.49417","76.92487","79.81918","82.07134","85.39529","85.63409","85.46606","85.45557","85.9603","86.75999","88.25854","88.25854","87.14893","86.10943","86.34205","86.59133"
"DEU","Germany","51.12191","51.12191","51.37119","51.62047","51.62047","51.86974","51.86974","51.86974","51.86974","51.86974","51.86974","51.86974","52.11902","51.84691","51.59763","56.17912","56.41174","55.30663","52.84096","47.67083","47.67083","71.13212","74.64096","78.31435","79.57889","81.91025","83.04663","84.46908","85.76301","86.99131","87.95573","88.16224","88.9286","89.28196","89.54687","90.05777","91.03165","92.93045","92.29328","92.10242","92.39016","92.39016","92.16701"
"DJI","Djibouti",".",".",".",".",".",".",".","9.977799","23.77224","23.77224","28.75779","31.76147","31.01363","31.01363","29.26869","29.26869","29.26869","29.76725","29.76725","30.0227","30.83904","33.27139","32.77283","33.31706","52.86198","56.83482","58.51645","37.34876","37.84732","39.20788","39.20788","39.20788","38.39154","40.00756","58.82581","59.75074","63.88197","63.46795","64.18309","64.99943","65.36945","65.28717","66.37234"
"DMA","Dominica","6.442246","11.29585","11.5513","11.5513","12.0622","12.0622","12.31766","12.31766","12.31766","12.57311","13.08401","13.59492","13.59492","15.38309","16.14944","16.4049","16.4049","19.39622","20.16258","20.16258","20.41804","23.39461","23.65006","24.17763","24.17763","26.06575","26.32121","27.393","26.84877","27.64845","28.19267","28.44813","28.99235","30.31959","29.50326","30.57505","30.8305","31.37472","32.12255","32.93889","32.12255","32.12255","36.7318"
"DNK","Denmark","88.65922","89.44224","90.46219","91.48831","90.99593","92.23902","93.04199","93.54054","94.06194","94.31739","94.81594","94.81594","95.34351","95.34351","92.35217","92.35217","92.35217","92.31268","89.6144","83.01191","84.25829","88.79806","91.32664","91.82191","93.12015","92.64771","91.58417","92.38095","92.13168","91.65924","91.88239","92.8501","92.43607","91.49121","92.48832","92.96075","92.66252","93.72813","93.23286","93.0097","93.63023","93.63023","91.84496"
"DOM","Dominican Republic","40.89724","41.98569","44.07743","44.64017","46.01309","47.57295","49.39257","50.69698","49.59187","47.68708","46.05441","44.40508","42.50029","46.3327","46.02109","46.8436","47.09288","45.46021","43.55542","41.67347","41.92274","44.92216","45.17143","46.28272","45.73849","46.53817","47.85924","47.85924","48.93103","49.47525","67.1693","67.34846","51.05795","51.05795","68.68947","68.66953","71.49635","72.12182","56.08676","57.36833","58.16183","58.16183","58.43394"
"DZA","Algeria","53.43774","54.7298","58.23394","50.59813","57.50272","61.94782","65.65743","58.83797","57.72668","62.64754","63.46387","65.60128","63.91862","53.60119","53.85665","64.72448","61.68126","44.26608","60.84827","85.06232","84.88484","61.028","79.43495","78.64473","62.70307","86.53766","82.73426","84.74023","44.79551","71.53366","61.04652","84.12712","79.48455","79.48455","78.90083","80.5335","81.40497","48.74823","85.00084","82.53517","86.66581","84.76102","82.0399"
"ECU","Ecuador","50.41682","52.94478","53.24591","54.52748","54.7891","56.09969","57.64906","58.67087","59.43105","59.16512","58.87635","58.85351","59.56802","61.47281","61.17786","61.44997","61.72826","58.75786","54.1153","50.26623","51.1054","71.0574","73.06582","72.20548","71.31285","55.69181","56.7636","73.7452","58.69122","58.69122","58.69122","58.49379","57.13323","74.11483","77.1383","78.7004","79.46778","80.55623","80.83452","81.35591","80.86064","80.86064","81.13275"
"EGY","Egypt, Arab Rep.","43.21463","45.66364","48.89567","52.64908","55.0586","56.94672","59.06747","62.19954","61.91077","61.36654","60.57304","62.0496","61.74417","66.53175","67.60354","67.83616","67.8195","66.17016","63.70449","75.55894","75.11263","82.21983","85.62561","88.90164","89.84322","89.30396","88.09521","88.86259","89.06909","89.96172","89.77087","89.77087","89.52487","89.07856","88.56663","90.19332","92.07649","92.3486","92.5228","93.46439","93.6386","93.68755","93.46439"
